"HOUSEHOLD DATA
ANNUAL AVERAGES
11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2018,,,,,
,"Total
employed",Percent of total employed,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
,,,,,,
First-line supervisors of gaming workers,187,44.4,79.8,10.4,4.1,10.2
First-line supervisors of personal service workers,208,73.3,69.5,11.9,17.8,9.5
Animal trainers,55,72.6,87.2,1.7,4.4,10.5
Nonfarm animal caretakers,268,77.6,92.1,3.8,1.8,9.8
Gaming services workers,102,47.8,49.7,10.6,30.3,6.7
Motion picture projectionists,1,–,–,–,–,–
"Ushers, lobby attendants, and ticket takers",35,–,–,–,–,–
Miscellaneous entertainment attendants and related workers,210,38.3,80.5,7.7,5.5,16.8
Embalmers and funeral attendants,17,–,–,–,–,–
"Morticians, undertakers, and funeral directors",34,–,–,–,–,–
Barbers,132,21.0,62.0,30.2,5.3,27.3
"Hairdressers, hairstylists, and cosmetologists",834,92.1,75.7,14.2,7.3,17.6
Miscellaneous personal appearance workers,449,83.6,31.2,9.1,57.2,10.8
"Baggage porters, bellhops, and concierges",92,22.6,49.7,37.7,10.3,26.1
Tour and travel guides,65,43.6,85.0,6.4,2.9,13.4
Childcare workers,"1,193",94.0,76.7,15.5,4.1,24.3
Personal care aides,"1,354",84.4,62.3,24.6,8.3,22.4
Recreation and fitness workers,497,60.5,76.0,15.6,4.3,9.2
Residential advisors,41,–,–,–,–,–
"Personal care and service workers, all other",171,68.1,72.2,17.8,5.4,15.3
,,,,,,
Sales and office occupations,"33,461",61.1,78.6,12.8,4.9,16.6
Sales and related occupations,"15,806",49.4,80.2,11.0,5.3,16.3
First-line supervisors of retail sales workers,"3,366",44.6,80.8,10.2,5.3,13.9
First-line supervisors of non-retail sales workers,"1,257",28.5,84.7,6.9,6.4,15.0
Cashiers,"3,200",73.8,70.3,17.3,6.6,24.5
